URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.firstratemovers.com/sample-household-content-list/,0.04,3,1,0,0,1,0,0,0,0,1,0,0,0,-3
https://www.firstratemovers.com/reviews/,0.04,8,1,0,3,0,0,0,0,1,0,0,0,0,0
https://www.firstratemovers.com/local-moving-in-ottawa/,0.04,19,1,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/typical-number-of-boxes-on-a-move/,0.04,1,1,0,1,0,0,0,0,1,0,0,0,0,1
https://www.firstratemovers.com/free-use-of-wardrobe-boxes/,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/faq/,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/help-loading-or-unloading-truck-or-container/,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/our-storage/,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/moving-checklist/,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/what-to-know-about-moving-from-ottawa-to-toronto/,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/contact-us/,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/what-is-a-local-move/,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/moving-quotes/,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/moving-company-insurance-coverage/,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/stittsville/,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/everything-you-need-to-know-about-packing-a-dining-room/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/packing-electronics/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/surcharges-for-moving-high-risk-items/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/ottawa-moving-estimates/,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/how-to-pack-for-your-move/,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/moving-trucks/,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/preparing-appliances/,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0
https://www.firstratemovers.com/packing-your-dining-room/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/mattress-bags/,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/ottawa-self-storage/,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/compare-us/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/consolidated-moving-services/,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.firstratemovers.com/best-price-guarantee/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
