Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
ottawa movers,5,5,1600,47,6.95,https://www.firstratemovers.com/,35,1.49,243.00,0.86,2450000,"[10,10,13,24,66,35,24,35,35,35,44,35]",2026-01-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
movers ottawa ontario,1,1,390,43,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,31,1.32,215.00,0.86,585000,"[3,21,32,11,32,26,26,72,48,59,100,48]",2026-01-27,"Local pack, Image, People also ask, Related searches",commercial,Local pack
moving companies in ottawa ontario,1,1,390,47,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,31,1.32,215.00,0.86,7560000,"[30,34,3,3,3,3,4,24,5,16,7,3]",2026-01-29,"Local pack, People also ask, Related searches",commercial,Local pack
furniture movers ottawa,1,1,210,25,3.60,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,27,1.15,97.00,0.72,1020000,"[5,5,5,7,7,11,11,59,39,32,39,39]",2026-01-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
moving ottawa,1,1,320,35,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,26,1.11,180.00,0.86,133000000,"[81,54,12,15,100,19,36,29,81,29,19,29]",2026-01-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
ottawa moving company,3,3,720,45,6.95,https://www.firstratemovers.com/,25,1.07,173.00,0.86,75000000,"[16,20,81,100,36,30,45,55,45,55,55,45]",2026-02-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
moving company ottawa,3,3,1000,52,6.95,https://www.firstratemovers.com/,22,0.94,152.00,0.86,79000000,"[13,16,24,30,24,30,30,54,79,100,41,54]",2026-01-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
flat rate movers,1,1,90,5,4.85,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,22,0.94,106.00,0.86,16200000,"[21,15,15,21,21,21,28,43,43,43,43,34]",2026-01-26,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
moving companies ottawa to toronto,1,1,90,5,8.15,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,22,0.94,179.00,0.88,8400000,"[50,50,50,100,78,50,78,78,78,64,50,50]",2026-03-03,"People also ask, Related searches, AI overview",informational,Organic
movers in ottawa ontario,3,3,1000,49,6.95,https://www.firstratemovers.com/,22,0.94,152.00,0.86,544000,"[82,55,4,5,20,65,30,16,24,24,24,20]",2026-02-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
moving manotick,1,1,90,,0.00,https://www.firstratemovers.com/manotick/,22,0.94,0.00,0,553000,"[0,0,0,0,4,4,4,80,80,66,100,100]",2026-02-13,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
kanata movers,2,2,480,18,6.26,https://www.firstratemovers.com/kanata/,21,0.89,131.00,0.78,303000,"[13,3,30,36,55,20,24,30,45,100,45,30]",2026-02-05,"Local pack, Image, People also ask, Related searches",commercial,Organic
ottawa moving services,1,1,260,43,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,21,0.89,145.00,0.86,124,"[24,13,4,4,5,7,7,13,16,10,13,13]",2026-03-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
movers ottawa,6,6,1600,46,6.95,https://www.firstratemovers.com/,20,0.85,139.00,0.86,2180000,"[44,30,65,44,44,55,44,65,55,55,55,55]",2026-01-26,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
ottawa moving companies,3,3,880,39,6.95,https://www.firstratemovers.com/,19,0.81,132.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
movers ottawa ontario,2,2,390,43,6.95,https://www.firstratemovers.com/,17,0.72,118.00,0.86,585000,"[3,21,32,11,32,26,26,72,48,59,100,48]",2026-01-27,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving companies kanata,1,1,210,11,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,17,0.72,106.00,0.78,373000,"[43,43,65,65,43,43,81,81,100,100,43,34]",2026-01-23,"Local pack, People also ask, Related searches",commercial,Local pack
moving service quote,3,3,590,30,9.28,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,17,0.72,157.00,0.42,315000000,"[1,1,62,100,81,55,62,62,30,13,6,10]",2026-01-26,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Local pack
moving companies ottawa prices,1,1,70,17,5.33,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,17,0.72,90.00,0.72,17700000,"[10,14,10,10,10,14,10,18,29,22,18,18]",2026-01-16,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Local pack
ottawa moving services,1,1,260,43,6.95,https://www.firstratemovers.com/,16,0.68,111.00,0.86,124,"[24,13,4,4,5,7,7,13,16,10,13,13]",2026-03-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
professional movers ottawa,5,5,590,54,5.19,https://www.firstratemovers.com/,14,0.59,72.00,0.38,1030000,"[48,59,39,39,48,72,100,72,59,59,48,72]",2026-01-26,"Knowledge panel, Sitelinks, People also ask, Related searches",informational,Organic
moving company packers,1,1,110,21,7.62,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,14,0.59,106.00,0.84,0,"[0,8,2,29,18,0,29,22,35,29,35,43]",2026-03-10,"Local pack, Video, Related searches",commercial,Local pack
toronto to ottawa movers,2,2,110,7,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,14,0.59,113.00,0.44,2420000,"[82,64,52,82,100,52,41,52,52,41,64,41]",2026-02-05,"Sitelinks, Image, Ads bottom, People also ask, Related searches",commercial,Organic
movers barrhaven,1,1,110,11,5.43,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,14,0.59,76.00,0.65,25600,"[3,3,7,7,7,11,11,80,80,65,100,100]",2026-01-27,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
ottawa piano mover,4,4,210,18,2.15,https://www.firstratemovers.com/ottawa-piano-movers/,13,0.55,27.00,0.4,283000,"[43,21,65,53,81,100,81,100,43,34,65,65]",2026-01-18,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
ottawa residential movers,1,1,170,,0.00,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,13,0.55,0.00,0.21,324000,"[42,19,80,65,100,100,80,100,42,42,80,100]",2026-02-11,"Local pack, Image, People also ask, Related searches",commercial,Local pack
best movers in ottawa,1,1,170,41,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,13,0.55,53.00,0.59,2080000,"[82,66,66,17,23,100,28,28,35,28,35,35]",2026-01-17,"Local pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
movers kanata,1,1,140,14,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,11,0.47,68.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Local pack
moving companies in ottawa ontario,2,2,390,47,6.95,https://www.firstratemovers.com/,11,0.47,76.00,0.86,7560000,"[30,34,3,3,3,3,4,24,5,16,7,3]",2026-01-29,"Local pack, People also ask, Related searches",commercial,Organic
moving ottawa,3,3,320,35,6.95,https://www.firstratemovers.com/,11,0.47,76.00,0.86,133000000,"[81,54,12,15,100,19,36,29,81,29,19,29]",2026-01-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
professional packers,2,2,140,10,4.83,https://www.firstratemovers.com/ottawa-packing-services/,11,0.47,53.00,0.66,211,"[14,9,9,52,80,52,100,100,100,100,100,100]",2026-03-09,"Local pack, Video, Related searches, See results about, AI overview",informational,Organic
movers kanata,1,1,140,14,6.26,https://www.firstratemovers.com/kanata/,9,0.38,56.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Organic
movers manotick,2,2,70,,0.00,https://www.firstratemovers.com/manotick/,9,0.38,0.00,0,180000,"[4,0,0,0,4,0,4,80,80,66,100,100]",2026-02-21,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask",informational,Organic
business moving companies near me,10,10,1900,23,6.38,https://www.firstratemovers.com/,9,0.38,57.00,0.22,0,"[1,16,53,100,35,29,53,44,53,16,18,18]",2026-03-08,"Local pack, Video, Related searches",transactional,Organic
moving companies in vaughan ontario,4,4,1000,21,11.12,https://www.firstratemovers.com/local-ottawa-moving-rates/,9,0.38,100.00,0.67,6850000,"[46,52,100,68,100,46,52,52,46,68,37,25]",2026-02-09,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
moving company in ottawa,1,1,480,50,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,8,0.34,55.00,0.86,16500000,"[20,62,1,1,1,10,1,13,20,100,81,6]",2026-01-26,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
barrhaven movers,1,1,110,14,5.43,https://www.firstratemovers.com/barrhaven/,7,0.29,38.00,0.65,241000,"[5,5,28,28,53,23,5,17,17,100,28,43]",2026-01-22,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
moving from ottawa to toronto,2,2,110,6,8.15,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,7,0.29,57.00,0.88,81500000,"[33,33,33,66,9,9,9,100,100,100,100,80]",2026-01-23,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
moving companies in ottawa canada,5,5,590,26,6.95,https://www.firstratemovers.com/,7,0.29,48.00,0.86,14000000,"[0,0,0,0,100,65,5,1,55,2,4,3]",2026-01-21,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
moving company kanata,1,1,90,16,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,7,0.29,43.00,0.78,1150000,"[9,14,33,42,19,42,23,66,52,100,66,52]",2026-01-19,"Local pack, Image, People also ask, Related searches",commercial,Local pack
moving companies ottawa,16,2,2400,45,9.63,https://www.firstratemovers.com/,7,0.29,67.00,0.88,0,"[36,66,80,52,100,66,80,44,44,44,66,52]",2026-03-11,"Local pack, Sitelinks, Related searches",commercial,Organic
movers barrhaven,1,1,110,11,5.43,https://www.firstratemovers.com/barrhaven/,7,0.29,38.00,0.65,25600,"[3,3,7,7,7,11,11,80,80,65,100,100]",2026-01-27,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
ottawa piano moving,4,4,210,20,2.15,https://www.firstratemovers.com/ottawa-piano-movers/,6,0.25,12.00,0.4,998000,"[34,21,65,53,81,100,65,100,53,53,43,53]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
professional packers and movers,1,1,110,31,2.15,https://www.firstratemovers.com/ottawa-packing-services/,6,0.25,12.00,0.77,9040000,"[7,7,7,26,42,19,100,80,53,65,65,65]",2026-03-08,"Local pack, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
long distance movers ottawa,5,14,260,24,8.43,https://www.firstratemovers.com/long-distance-moving/,6,0.25,50.00,0.4,0,"[35,43,81,29,43,29,54,66,66,81,81,100]",2026-03-12,"Local pack, Video, Related searches",commercial,Organic
moving companies kanata,2,2,210,11,6.26,https://www.firstratemovers.com/kanata/,6,0.25,37.00,0.78,373000,"[43,43,65,65,43,43,81,81,100,100,43,34]",2026-01-23,"Local pack, People also ask, Related searches",commercial,Organic
ranger moving systems,2,2,210,13,2.55,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,6,0.25,15.00,0.08,18900000,"[53,65,80,53,65,100,65,65,80,65,80,80]",2026-03-05,"Knowledge panel, Video, People also ask, Related searches",navigational,People also ask
best moving company ottawa,1,1,70,53,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,20.00,0.59,36300000,"[15,19,3,3,19,7,100,65,11,11,42,7]",2026-02-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Local pack
piano movers ottawa ontario,6,6,210,30,2.30,https://www.firstratemovers.com/ottawa-piano-movers/,5,0.21,11.00,0.94,68600,"[43,66,53,43,66,53,43,43,53,66,43,43]",2026-02-22,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving company quote,1,1,480,36,9.28,https://www.firstratemovers.com/local-ottawa-moving-rates/,5,0.21,46.00,0.42,397000000,"[54,54,54,66,66,66,66,100,81,100,100,100]",2026-02-13,"Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
moving companies ottawa ontario,1,1,70,45,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,34.00,0.86,6630000,"[0,100,0,0,19,7,26,26,53,80,26,15]",2026-01-18,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
ottawa residential moving,2,2,210,44,0.00,https://www.firstratemovers.com/,5,0.21,0.00,0.33,7680000,"[42,19,80,80,100,100,80,100,53,42,65,80]",2026-02-07,"Local pack, People also ask, Related searches",commercial,Organic
ottawa residential movers,3,3,170,,0.00,https://www.firstratemovers.com/,5,0.21,0.00,0.21,324000,"[42,19,80,65,100,100,80,100,42,42,80,100]",2026-02-11,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving nepean,1,1,70,10,0.00,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,0.00,0,620000,"[4,4,4,0,0,0,0,80,80,66,100,100]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
moving services ottawa,3,3,720,55,6.95,https://www.firstratemovers.com/,5,0.21,34.00,0.86,133000000,"[24,27,5,4,7,66,20,10,13,44,16,16]",2026-02-05,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
usedottawa,11,11,390,7,0.84,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,5,0.21,4.00,0.22,21600,"[10,5,8,8,10,7,10,13,7,13,16,10]",2026-01-19,"Sitelinks, Video, Image, Related searches",informational,Organic
best ottawa moving companies,1,1,50,40,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,16.00,0.59,6010000,"[100,63,0,0,45,18,81,63,81,45,63,63]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
local movers ottawa,2,2,140,46,5.40,https://www.firstratemovers.com/,4,0.17,21.00,0.72,744000,"[12,35,12,23,23,23,28,66,53,43,53,53]",2026-01-27,"Local pack, People also ask, Related searches",commercial,Organic
first rate movers inc,10,10,140,18,2.62,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,10.00,0.37,33400000,"[42,53,53,26,53,65,65,53,53,53,53,42]",2026-02-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Knowledge panel
moving company in ottawa,2,2,480,50,6.95,https://www.firstratemovers.com/,4,0.17,27.00,0.86,16500000,"[20,62,1,1,1,10,1,13,20,100,81,6]",2026-01-26,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
moving companies price,8,8,320,12,3.44,https://www.firstratemovers.com/local-ottawa-moving-rates/,4,0.17,13.00,0.76,811000000,"[44,54,54,54,54,54,44,66,54,66,35,35]",2026-01-31,"Sitelinks, Video, People also ask, Related searches, Ads middle, AI overview",transactional,Organic
moving companies in ottawa,1,1,260,41,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,27.00,0.86,84100000,"[23,67,4,4,44,54,12,36,29,23,36,19]",2026-02-09,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
ranger moving systems,2,2,210,13,2.55,https://www.firstratemovers.com/,4,0.17,10.00,0.08,18900000,"[53,65,80,53,65,100,65,65,80,65,80,80]",2026-03-05,"Knowledge panel, Video, People also ask, Related searches",navigational,People also ask
moving from toronto to ottawa,3,3,170,5,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,4,0.17,32.00,0.44,64400000,"[43,43,43,81,15,53,12,65,65,65,65,65]",2026-02-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
movers orleans,3,3,140,15,4.55,https://www.firstratemovers.com/orleans-movers/,4,0.17,18.00,0.75,3630000,"[14,18,14,18,22,22,43,43,43,43,29,35]",2026-01-19,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
best moving company in ottawa,1,1,50,41,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,16.00,0.59,11300000,"[81,63,18,27,100,36,45,45,45,27,81,18]",2026-02-21,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Local pack
furniture movers ottawa,2,2,210,25,3.60,https://www.firstratemovers.com/furniture-donation-disposal/,3,0.12,10.00,0.72,1020000,"[5,5,5,7,7,11,11,59,39,32,39,39]",2026-01-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
nepean movers,2,2,90,9,0.00,https://www.firstratemovers.com/nepean-movers/,3,0.12,0.00,0.59,115000,"[14,14,35,28,14,78,28,100,100,100,100,100]",2026-01-18,"Local pack, Image, People also ask, Related searches",commercial,Organic
mover in ottawa,2,2,70,44,6.95,https://www.firstratemovers.com/,3,0.12,20.00,0.86,40100000,"[0,0,7,0,0,100,2,17,23,23,7,5]",2026-01-25,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
moving services,23,23,2400,42,6.38,https://www.firstratemovers.com/,3,0.12,19.00,0.18,0,"[44,44,44,36,36,80,66,66,66,100,80,80]",2026-03-09,"Local pack, Video, Related searches",commercial,Organic
long distance moving companies ottawa,8,8,210,15,8.43,https://www.firstratemovers.com/long-distance-moving/,3,0.12,25.00,0.4,0,"[29,66,54,43,35,29,54,54,43,35,35,35]",2026-03-10,"Local pack, Video, Related searches",commercial,Organic
piano mover near me,4,4,110,13,2.95,https://www.firstratemovers.com/ottawa-piano-movers/,3,0.12,8.00,0.67,0,"[23,42,33,19,19,14,66,80,42,66,80,100]",2026-03-08,"Local pack, Video, Image, Related searches",transactional,Organic
ottawa professional movers,3,3,90,48,5.19,https://www.firstratemovers.com/,3,0.12,15.00,0.38,622000,"[0,3,1,1,1,3,5,8,8,100,44,11]",2026-02-17,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
moving company orleans,1,1,50,16,4.55,https://www.firstratemovers.com/orleans-movers/,3,0.12,13.00,0.75,57700000,"[7,14,14,7,7,14,35,78,100,78,64,64]",2026-02-16,"Local pack, People also ask, Related searches",commercial,Organic
moving company cost per hour,1,1,90,9,2.46,https://www.firstratemovers.com/local-ottawa-moving-rates/,3,0.12,7.00,0.76,433000000,"[35,64,64,78,50,64,64,35,50,100,50,50]",2026-01-13,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
moving company kanata,2,2,90,16,6.26,https://www.firstratemovers.com/kanata/,3,0.12,18.00,0.78,1150000,"[9,14,33,42,19,42,23,66,52,100,66,52]",2026-01-19,"Local pack, Image, People also ask, Related searches",commercial,Organic
piano moving service near me,1,1,140,10,2.61,https://www.firstratemovers.com/ottawa-piano-movers/,3,0.12,7.00,0.56,98900000,"[65,65,53,43,21,34,43,65,53,34,28,43]",2026-03-03,"Local pack, People also ask, Related searches",transactional,Organic
best moving companies ottawa,3,3,390,44,4.10,https://www.firstratemovers.com/,3,0.12,12.00,0.59,34000000,"[44,54,29,54,44,54,44,54,54,54,36,54]",2026-01-19,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
movers sterling,4,4,170,42,14.01,https://www.firstratemovers.com/,3,0.12,42.00,0.23,11900000,"[53,53,53,65,80,53,53,53,65,100,65,100]",2026-01-19,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
orleans moving companies,3,3,170,14,4.55,https://www.firstratemovers.com/orleans-movers/,3,0.12,13.00,0.75,23800000,"[18,29,29,22,43,29,54,43,35,66,35,35]",2026-02-28,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
movers service,7,7,480,62,6.50,https://www.firstratemovers.com/,3,0.12,19.00,0.1,165000000,"[0,0,0,0,7,1,3,100,11,24,20,20]",2026-01-25,"Local pack, Ads bottom, People also ask, Related searches",commercial,Organic
moving estimates,4,4,90,14,6.87,https://www.firstratemovers.com/detailed-moving-estimates/,3,0.12,20.00,0.81,217000000,"[3,3,26,42,34,42,42,53,34,65,53,11]",2026-02-26,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
cost for movers,1,1,110,,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,3,0.12,9.00,0.54,81400000,"[0,6,3,3,1,6,100,6,6,81,3,3]",2026-02-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
movers cost,8,8,390,9,3.33,https://www.firstratemovers.com/local-ottawa-moving-rates/,3,0.12,9.00,0.54,104000000,"[36,44,54,67,44,44,67,44,54,54,29,29]",2026-01-16,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
mover ottawa,2,2,70,55,9.64,https://www.firstratemovers.com/,3,0.12,28.00,0.88,0,"[65,15,11,11,15,19,53,65,53,34,19,7]",2026-03-08,"Local pack, Video, Image, Related searches",commercial,Organic
local moving companies ottawa,2,2,90,43,5.40,https://www.firstratemovers.com/,3,0.12,16.00,0.72,9990000,"[12,17,12,23,23,23,28,23,28,17,17,17]",2026-01-18,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
furniture removal ottawa,3,3,70,13,3.14,https://www.firstratemovers.com/furniture-donation-disposal/,2,0.08,6.00,1,0,"[21,21,78,78,21,21,78,78,78,64,100,50]",2026-03-08,"Local pack, Video, Related searches, Discussions and forums",commercial,Organic
sell my stuff ottawa,4,4,390,32,0.05,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,2,0.08,0.00,0.1,30100000,"[28,66,44,81,54,81,66,44,81,81,81,44]",2026-02-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
recommended moving companies,6,6,260,31,5.79,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,2,0.08,11.00,0.57,342000000,"[19,0,5,5,54,36,23,44,66,54,54,36]",2026-01-22,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,Local pack
newmarket ontario moving companies,3,3,210,19,8.76,https://www.firstratemovers.com/local-ottawa-moving-rates/,2,0.08,17.00,0.74,128,"[48,48,1,2,3,2,1,2,48,48,39,32]",2026-03-05,"Local pack, Image, People also ask, Related searches",commercial,People also ask
moving services in ottawa,1,1,170,50,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,2,0.08,13.00,0.86,20800000,"[37,20,1,0,3,2,0,8,8,5,4,4]",2026-02-13,"Local pack, People also ask, Related searches",commercial,Local pack
