Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
movers ottawa ontario,1,1,480,50,9.63,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,39,1.69,375.00,0.88,1540000,"[21,32,11,32,26,26,72,48,59,100,48,48]",2026-03-27,"Local pack, Image, Related searches",commercial,Local pack
ottawa movers,4,4,1600,45,9.63,https://www.firstratemovers.com/,38,1.65,365.00,0.88,123,"[10,13,24,66,35,24,35,35,35,44,35,35]",2026-03-27,"Local pack, Video, Image, Related searches",commercial,Organic
moving companies in ottawa ontario,1,1,390,47,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,31,1.34,215.00,0.86,7560000,"[30,34,3,3,3,3,4,24,5,16,7,3]",2026-01-29,"Local pack, People also ask, Related searches",commercial,Local pack
best moving companies ottawa,1,1,390,50,5.89,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,31,1.34,182.00,0.48,0,"[54,29,54,44,54,44,54,54,54,36,54,44]",2026-03-18,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Local pack
furniture movers,4,4,1300,14,4.21,https://www.firstratemovers.com/professional-hoisting/,31,1.34,130.00,0.77,0,"[10,13,20,24,27,24,100,66,36,52,52,36]",2026-03-15,"Local pack, Sitelinks, Popular products, Related searches",commercial,Organic
movers barrhaven,1,1,110,14,6.84,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,27,1.17,184.00,0.76,115,"[3,7,7,7,11,11,80,80,65,100,100,100]",2026-03-27,"Local pack, Video, Image, Related searches",commercial,Local pack
moving ottawa,1,1,320,35,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,26,1.12,180.00,0.86,133000000,"[81,54,12,15,100,19,36,29,81,29,19,29]",2026-01-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
ottawa moving company,3,3,720,45,6.95,https://www.firstratemovers.com/,25,1.08,173.00,0.86,75000000,"[16,20,81,100,36,30,45,55,45,55,55,45]",2026-02-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
piano moving company near me,1,1,390,14,2.95,https://www.firstratemovers.com/ottawa-piano-movers/,25,1.08,73.00,0.67,0,"[66,66,100,66,54,54,29,36,81,66,54,29]",2026-03-13,"Local pack, Video, Related searches",transactional,Organic
moving companies ottawa,3,3,2400,58,9.63,https://www.firstratemovers.com/,24,1.04,231.00,0.88,51900000,"[36,66,80,52,100,66,80,44,44,44,66,52]",2026-03-26,"Local pack, Sitelinks, Ads bottom, Related searches",commercial,Organic
moving companies ottawa ontario,1,1,90,46,9.64,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,22,0.95,212.00,0.88,0,"[100,0,0,19,7,26,26,53,80,26,15,26]",2026-03-16,"Local pack, Related searches",commercial,Local pack
best movers in ottawa,1,1,170,47,5.89,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,22,0.95,129.00,0.48,0,"[66,66,17,23,100,28,28,35,28,35,35,28]",2026-03-15,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Local pack
moving companies ottawa to toronto,1,1,90,5,8.15,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,22,0.95,179.00,0.88,8400000,"[50,50,50,100,78,50,78,78,78,64,50,50]",2026-03-03,"People also ask, Related searches, AI overview",informational,Organic
movers in ottawa ontario,3,3,1000,49,6.95,https://www.firstratemovers.com/,22,0.95,152.00,0.86,544000,"[82,55,4,5,20,65,30,16,24,24,24,20]",2026-02-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
moving manotick,1,1,90,,0.00,https://www.firstratemovers.com/manotick/,22,0.95,0.00,0,553000,"[0,0,0,0,4,4,4,80,80,66,100,100]",2026-02-13,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
furniture movers ottawa,1,1,260,22,5.18,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,21,0.91,108.00,0.99,0,"[5,5,7,7,11,11,59,39,32,39,39,32]",2026-03-14,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
kanata movers,2,2,480,18,6.26,https://www.firstratemovers.com/kanata/,21,0.91,131.00,0.78,303000,"[13,3,30,36,55,20,24,30,45,100,45,30]",2026-02-05,"Local pack, Image, People also ask, Related searches",commercial,Organic
movers in ottawa,4,4,880,50,9.63,https://www.firstratemovers.com/,21,0.91,202.00,0.88,123,"[41,20,54,100,54,16,30,30,41,24,20,30]",2026-03-20,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
ottawa moving services,1,1,260,43,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,21,0.91,145.00,0.86,124,"[24,13,4,4,5,7,7,13,16,10,13,13]",2026-03-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
piano removal company,3,3,590,,3.50,https://www.firstratemovers.com/ottawa-piano-movers/,20,0.86,70.00,0.84,118,"[1,1,1,1,81,62,81,55,100,45,24,24]",2026-03-23,"Local pack, Video, Related searches",commercial,Organic
ottawa moving companies,3,3,880,39,6.95,https://www.firstratemovers.com/,19,0.82,132.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
moving company ottawa,1,1,1000,55,9.64,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,18,0.78,173.00,0.88,126,"[16,24,30,24,30,30,54,79,100,41,54,41]",2026-03-21,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
moving from ottawa to toronto,2,2,140,3,10.15,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,18,0.78,182.00,0.85,89500000,"[33,33,66,9,9,9,100,100,100,100,80,100]",2026-03-22,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
professional movers ottawa,6,6,590,48,6.66,https://www.firstratemovers.com/,17,0.73,113.00,0.52,1300000,"[59,39,39,48,72,100,72,59,59,48,72,39]",2026-03-24,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
moving companies kanata,1,1,210,11,6.47,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,17,0.73,109.00,0.46,122,"[43,65,65,43,43,81,81,100,100,43,34,65]",2026-03-22,"Local pack, Related searches",commercial,Local pack
moving companies ottawa prices,1,1,70,12,6.38,https://www.firstratemovers.com/local-ottawa-moving-rates/,17,0.73,108.00,0.88,0,"[14,10,10,10,14,10,18,29,22,18,18,18]",2026-03-14,"Local pack, Sitelinks, Related searches, AI overview",commercial,Organic
ottawa moving services,1,1,260,43,6.95,https://www.firstratemovers.com/,16,0.69,111.00,0.86,124,"[24,13,4,4,5,7,7,13,16,10,13,13]",2026-03-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
movers ottawa ontario,3,2,480,50,9.63,https://www.firstratemovers.com/,16,0.69,154.00,0.88,1540000,"[21,32,11,32,26,26,72,48,59,100,48,48]",2026-03-27,"Local pack, Image, Related searches",commercial,Organic
movers to move furniture,5,5,590,20,4.21,https://www.firstratemovers.com/,14,0.6,58.00,0.77,0,"[48,32,59,72,48,88,32,48,100,72,88,48]",2026-03-18,"Local pack, Video, Popular products, Related searches",commercial,Organic
moving company packers,1,1,110,21,7.62,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,14,0.6,106.00,0.84,0,"[0,8,2,29,18,0,29,22,35,29,35,43]",2026-03-10,"Local pack, Video, Related searches",commercial,Local pack
toronto to ottawa movers,2,2,110,7,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,14,0.6,113.00,0.44,2420000,"[82,64,52,82,100,52,41,52,52,41,64,41]",2026-02-05,"Sitelinks, Image, Ads bottom, People also ask, Related searches",commercial,Organic
moving companies kanata,1,1,210,11,6.47,https://www.firstratemovers.com/kanata/,13,0.56,84.00,0.46,122,"[43,65,65,43,43,81,81,100,100,43,34,65]",2026-03-22,"Local pack, Related searches",commercial,Organic
ottawa residential movers,1,1,170,,0.00,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,13,0.56,0.00,0.21,324000,"[42,19,80,65,100,100,80,100,42,42,80,100]",2026-02-11,"Local pack, Image, People also ask, Related searches",commercial,Local pack
movers kanata,1,1,140,14,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,11,0.47,68.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Local pack
moving companies in ottawa ontario,2,2,390,47,6.95,https://www.firstratemovers.com/,11,0.47,76.00,0.86,7560000,"[30,34,3,3,3,3,4,24,5,16,7,3]",2026-01-29,"Local pack, People also ask, Related searches",commercial,Organic
moving ottawa,3,3,320,35,6.95,https://www.firstratemovers.com/,11,0.47,76.00,0.86,133000000,"[81,54,12,15,100,19,36,29,81,29,19,29]",2026-01-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
professional packers,2,2,140,10,4.83,https://www.firstratemovers.com/ottawa-packing-services/,11,0.47,53.00,0.66,211,"[14,9,9,52,80,52,100,100,100,100,100,100]",2026-03-09,"Local pack, Video, Related searches, See results about, AI overview",informational,Organic
local moving companies ottawa,1,1,90,43,8.77,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,11,0.47,96.00,0.72,0,"[17,12,23,23,23,28,23,28,17,17,17,12]",2026-03-17,"Local pack, Video, Related searches",commercial,Local pack
moving company ottawa,3,3,1000,55,9.64,https://www.firstratemovers.com/,10,0.43,96.00,0.88,126,"[16,24,30,24,30,30,54,79,100,41,54,41]",2026-03-21,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
barrhaven movers,1,1,140,8,6.83,https://www.firstratemovers.com/barrhaven/,9,0.39,61.00,0.76,647000,"[5,28,28,53,23,5,17,17,100,28,43,35]",2026-03-21,"Local pack, Image",commercial,Organic
movers kanata,1,1,140,14,6.26,https://www.firstratemovers.com/kanata/,9,0.39,56.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Organic
flat rate movers,1,1,110,5,5.88,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,9,0.39,52.00,0.93,131,"[15,15,21,21,21,28,43,43,43,43,34,65]",2026-03-26,"Local pack, Video, People also ask, Related searches",commercial,Local pack
movers manotick,2,2,70,,0.00,https://www.firstratemovers.com/manotick/,9,0.39,0.00,0,180000,"[4,0,0,0,4,0,4,80,80,66,100,100]",2026-02-21,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask",informational,Organic
moving company kanata,1,1,110,9,6.47,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,9,0.39,58.00,0.46,0,"[14,33,42,19,42,23,66,52,100,66,52,42]",2026-03-19,"Local pack, Image, Related searches",commercial,Local pack
moving companies in vaughan ontario,4,4,1000,21,11.12,https://www.firstratemovers.com/local-ottawa-moving-rates/,9,0.39,100.00,0.67,6850000,"[46,52,100,68,100,46,52,52,46,68,37,25]",2026-02-09,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
mover,11,62,1600,48,6.70,https://www.firstratemovers.com/,8,0.34,53.00,0.66,245000000,"[27,27,44,13,16,100,52,66,52,52,52,52]",2026-03-27,"Knowledge panel, Sitelinks, Image, Popular products, Related searches, AI overview",commercial,Organic
moving company in ottawa,1,1,480,56,9.64,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,8,0.34,77.00,0.88,126,"[62,1,1,1,10,1,13,20,100,81,6,8]",2026-03-25,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
best moving companies ottawa,4,4,390,50,5.89,https://www.firstratemovers.com/,8,0.34,47.00,0.48,0,"[54,29,54,44,54,44,54,54,54,36,54,44]",2026-03-18,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
moving company kanata,1,1,110,9,6.47,https://www.firstratemovers.com/kanata/,7,0.3,45.00,0.46,0,"[14,33,42,19,42,23,66,52,100,66,52,42]",2026-03-19,"Local pack, Image, Related searches",commercial,Organic
movers barrhaven,1,1,110,14,6.84,https://www.firstratemovers.com/barrhaven/,7,0.3,47.00,0.76,115,"[3,7,7,7,11,11,80,80,65,100,100,100]",2026-03-27,"Local pack, Video, Image, Related searches",commercial,Organic
ottawa piano moving,4,4,210,20,2.15,https://www.firstratemovers.com/ottawa-piano-movers/,6,0.26,12.00,0.4,998000,"[34,21,65,53,81,100,65,100,53,53,43,53]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
professional packers and movers,1,1,110,31,2.15,https://www.firstratemovers.com/ottawa-packing-services/,6,0.26,12.00,0.77,9040000,"[7,7,7,26,42,19,100,80,53,65,65,65]",2026-03-08,"Local pack, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
long distance movers ottawa,5,5,260,24,8.43,https://www.firstratemovers.com/long-distance-moving/,6,0.26,50.00,0.4,0,"[35,43,81,29,43,29,54,66,66,81,81,100]",2026-03-12,"Local pack, Video, Related searches",commercial,Organic
ranger moving systems,2,2,210,13,2.55,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,6,0.26,15.00,0.08,18900000,"[53,65,80,53,65,100,65,65,80,65,80,80]",2026-03-05,"Knowledge panel, Video, People also ask, Related searches",navigational,People also ask
piano movers near me,5,5,590,24,2.95,https://www.firstratemovers.com/ottawa-piano-movers/,5,0.21,14.00,0.67,6060000,"[48,100,88,72,39,39,39,39,88,59,59,26]",2026-03-26,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Organic
best moving company ottawa,1,1,70,53,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,20.00,0.59,36300000,"[15,19,3,3,19,7,100,65,11,11,42,7]",2026-02-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Local pack
mover in ottawa,1,1,70,48,9.64,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,48.00,0.88,148000000,"[0,7,0,0,100,2,17,23,23,7,5,2]",2026-03-23,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
local movers ottawa,4,4,170,46,8.77,https://www.firstratemovers.com/,5,0.21,43.00,0.72,1250000,"[35,12,23,23,23,28,66,53,43,53,53,66]",2026-03-26,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
piano movers ottawa ontario,6,6,210,30,2.30,https://www.firstratemovers.com/ottawa-piano-movers/,5,0.21,11.00,0.94,68600,"[43,66,53,43,66,53,43,43,53,66,43,43]",2026-02-22,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving companies in ottawa canada,9,9,590,43,9.64,https://www.firstratemovers.com/,5,0.21,48.00,0.88,116000000,"[0,0,0,100,65,5,1,55,2,4,3,2]",2026-03-21,"Local pack, Sitelinks, Related searches",commercial,Organic
moving company quote,1,1,480,36,9.28,https://www.firstratemovers.com/local-ottawa-moving-rates/,5,0.21,46.00,0.42,397000000,"[54,54,54,66,66,66,66,100,81,100,100,100]",2026-02-13,"Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
ottawa residential moving,2,2,210,44,0.00,https://www.firstratemovers.com/,5,0.21,0.00,0.33,7680000,"[42,19,80,80,100,100,80,100,53,42,65,80]",2026-02-07,"Local pack, People also ask, Related searches",commercial,Organic
ottawa residential movers,3,3,170,,0.00,https://www.firstratemovers.com/,5,0.21,0.00,0.21,324000,"[42,19,80,65,100,100,80,100,42,42,80,100]",2026-02-11,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving nepean,1,1,70,10,0.00,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,5,0.21,0.00,0,620000,"[4,4,4,0,0,0,0,80,80,66,100,100]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
moving services ottawa,3,3,720,55,6.95,https://www.firstratemovers.com/,5,0.21,34.00,0.86,133000000,"[24,27,5,4,7,66,20,10,13,44,16,16]",2026-02-05,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
moving prices,11,11,720,20,3.27,https://www.firstratemovers.com/local-ottawa-moving-rates/,5,0.21,16.00,0.61,1260000000,"[55,67,100,76,36,36,30,67,67,55,30,30]",2026-03-21,"Sitelinks, Video, Related searches, AI overview",informational,Organic
furniture movers ottawa,7,7,260,22,5.18,https://www.firstratemovers.com/professional-hoisting/,4,0.17,20.00,0.99,0,"[5,5,7,7,11,11,59,39,32,39,39,32]",2026-03-14,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
piano moving services,4,4,140,8,3.40,https://www.firstratemovers.com/ottawa-piano-movers/,4,0.17,13.00,0.11,0,"[2,7,10,17,23,7,53,53,35,53,82,100]",2026-03-19,"Local pack, Video, Image, Related searches",commercial,Organic
best ottawa moving companies,1,1,50,40,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,16.00,0.59,6010000,"[100,63,0,0,45,18,81,63,81,45,63,63]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
first rate movers inc,10,10,140,18,2.62,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,10.00,0.37,33400000,"[42,53,53,26,53,65,65,53,53,53,53,42]",2026-02-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Knowledge panel
moving company in ottawa,2,2,480,56,9.64,https://www.firstratemovers.com/,4,0.17,38.00,0.88,126,"[62,1,1,1,10,1,13,20,100,81,6,8]",2026-03-25,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
moving companies price,8,8,320,12,3.44,https://www.firstratemovers.com/local-ottawa-moving-rates/,4,0.17,13.00,0.76,811000000,"[44,54,54,54,54,54,44,66,54,66,35,35]",2026-01-31,"Sitelinks, Video, People also ask, Related searches, Ads middle, AI overview",transactional,Organic
moving companies in ottawa,1,1,260,41,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,27.00,0.86,84100000,"[23,67,4,4,44,54,12,36,29,23,36,19]",2026-02-09,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
ranger moving systems,2,2,210,13,2.55,https://www.firstratemovers.com/,4,0.17,10.00,0.08,18900000,"[53,65,80,53,65,100,65,65,80,65,80,80]",2026-03-05,"Knowledge panel, Video, People also ask, Related searches",navigational,People also ask
moving from toronto to ottawa,3,3,170,5,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,4,0.17,32.00,0.44,64400000,"[43,43,43,81,15,53,12,65,65,65,65,65]",2026-02-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best moving company in ottawa,1,1,50,41,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,4,0.17,16.00,0.59,11300000,"[81,63,18,27,100,36,45,45,45,27,81,18]",2026-02-21,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Local pack
nepean movers,2,2,90,8,0.00,https://www.firstratemovers.com/nepean-movers/,3,0.13,0.00,0.32,0,"[14,35,28,14,78,28,100,100,100,100,100,100]",2026-03-16,"Local pack, Image, Related searches",commercial,Organic
mover in ottawa,2,2,70,48,9.64,https://www.firstratemovers.com/,3,0.13,28.00,0.88,148000000,"[0,7,0,0,100,2,17,23,23,7,5,2]",2026-03-23,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
moving companies saint john,3,3,320,25,5.71,https://www.firstratemovers.com/local-ottawa-moving-rates/,3,0.13,17.00,0.86,129000000,"[66,66,100,81,81,54,81,54,81,66,43,29]",2026-03-27,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
local moving companies,13,13,1300,67,5.78,https://www.firstratemovers.com/local-moving-in-ottawa/,3,0.13,17.00,0.21,0,"[84,84,52,68,46,68,52,31,68,84,100,68]",2026-03-12,"Local pack, Video, Related searches",commercial,Organic
long distance moving companies ottawa,8,8,210,15,8.43,https://www.firstratemovers.com/long-distance-moving/,3,0.13,25.00,0.4,0,"[29,66,54,43,35,29,54,54,43,35,35,35]",2026-03-10,"Local pack, Video, Related searches",commercial,Organic
piano mover near me,4,4,110,13,2.95,https://www.firstratemovers.com/ottawa-piano-movers/,3,0.13,8.00,0.67,0,"[23,42,33,19,19,14,66,80,42,66,80,100]",2026-03-08,"Local pack, Video, Image, Related searches",transactional,Organic
ottawa professional movers,3,3,90,48,5.19,https://www.firstratemovers.com/,3,0.13,15.00,0.38,622000,"[0,3,1,1,1,3,5,8,8,100,44,11]",2026-02-17,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
moving company orleans,1,1,50,16,4.55,https://www.firstratemovers.com/orleans-movers/,3,0.13,13.00,0.75,57700000,"[7,14,14,7,7,14,35,78,100,78,64,64]",2026-02-16,"Local pack, People also ask, Related searches",commercial,Organic
best movers ottawa,8,8,260,38,5.89,https://www.firstratemovers.com/,3,0.13,17.00,0.48,0,"[26,5,5,39,14,39,26,26,39,32,32,32]",2026-03-19,"Knowledge panel, Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
piano moving service near me,1,1,140,10,2.61,https://www.firstratemovers.com/ottawa-piano-movers/,3,0.13,7.00,0.56,98900000,"[65,65,53,43,21,34,43,65,53,34,28,43]",2026-03-03,"Local pack, People also ask, Related searches",transactional,Organic
moving companies ottawa ontario,3,3,90,46,9.64,https://www.firstratemovers.com/,3,0.13,28.00,0.88,0,"[100,0,0,19,7,26,26,53,80,26,15,26]",2026-03-16,"Local pack, Related searches",commercial,Organic
moving and storage ottawa,3,3,90,34,6.16,https://www.firstratemovers.com/free-storage-ottawa/,3,0.13,18.00,0.94,0,"[9,12,15,21,12,12,43,43,34,43,43,34]",2026-03-16,"Local pack, Video, Image, Related searches",commercial,Organic
orleans moving companies,3,3,170,14,4.55,https://www.firstratemovers.com/orleans-movers/,3,0.13,13.00,0.75,23800000,"[18,29,29,22,43,29,54,43,35,66,35,35]",2026-02-28,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
moving estimates,4,4,90,14,6.87,https://www.firstratemovers.com/detailed-moving-estimates/,3,0.13,20.00,0.81,217000000,"[3,3,26,42,34,42,42,53,34,65,53,11]",2026-02-26,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
cost for movers,1,1,110,,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,3,0.13,9.00,0.54,81400000,"[0,6,3,3,1,6,100,6,6,81,3,3]",2026-02-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
furniture movers,12,12,1300,14,4.21,https://www.firstratemovers.com/professional-hoisting/,3,0.13,12.00,0.77,0,"[10,13,20,24,27,24,100,66,36,52,52,36]",2026-03-15,"Local pack, Sitelinks, Popular products, Related searches",commercial,Organic
best movers in ottawa,4,4,170,47,5.89,https://www.firstratemovers.com/,3,0.13,17.00,0.48,0,"[66,66,17,23,100,28,28,35,28,35,35,28]",2026-03-15,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
mover ottawa,2,2,70,55,9.64,https://www.firstratemovers.com/,3,0.13,28.00,0.88,0,"[65,15,11,11,15,19,53,65,53,34,19,7]",2026-03-08,"Local pack, Video, Image, Related searches",commercial,Organic
local moving companies ottawa,2,2,90,43,8.77,https://www.firstratemovers.com/,3,0.13,26.00,0.72,0,"[17,12,23,23,23,28,23,28,17,17,17,12]",2026-03-17,"Local pack, Video, Related searches",commercial,Organic
moving companies ottawa prices,2,2,70,12,6.38,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,3,0.13,19.00,0.88,0,"[14,10,10,10,14,10,18,29,22,18,18,18]",2026-03-14,"Local pack, Sitelinks, Related searches, AI overview",commercial,Local pack
