Top queries,Clicks,Impressions,CTR,Position
brand moving company,0,161,0%,57.04
moving company in orleans,0,160,0%,24.4
movers in orleans on,0,160,0%,27.38
piano moving company,0,159,0%,58.31
moving company orleans on,0,157,0%,22
emergency movers,0,155,0%,54.85
office and commercial moving,0,153,0%,79.69
moving westmount,0,150,0%,18.25
commercial movers fairview,0,150,0%,19.07
moving company long distance,0,149,0%,66.38
long distance moving services,0,148,0%,46.8
movers long distance,0,148,0%,68.79
movers côte-saint-luc,0,146,0%,11.56
moving companies in ottawa,0,146,0%,32.4
senior relocation services,0,145,0%,30.63
piano moving companies,0,144,0%,68.66
moving costs ottawa,0,143,0%,23.41
movers ottawa on,0,143,0%,32.29
ottawa moving and storage,0,143,0%,46.21
international movers ottawa,0,139,0%,6.4
moving company ottawa on,0,139,0%,36.5
cheap movers,0,136,0%,67.51
moving company in ottawa on,0,133,0%,34.98
movers in ottawa on,0,132,0%,31.17
student moving company,0,130,0%,18.6
condominium moving,0,129,0%,40.25
residential moving services,0,129,0%,46.43
canada long distance movers,0,127,0%,73.54
senior moving services ottawa,0,126,0%,16.26
corporate moving services,0,126,0%,28.98
affordable long distance movers,0,126,0%,37.6
ottawa moving and delivery,0,124,0%,8.47
moving help ottawa,0,123,0%,25.09
piano mover,0,122,0%,65.02
moving from ottawa to vancouver,0,121,0%,13.78
long distance moving company cost,0,121,0%,51.28
residential moving service,0,120,0%,27.71
professional movers gloucester,0,119,0%,9.47
long distance moving beaconsfield,0,119,0%,15.39
long distance mover,0,119,0%,43.04
long distance moving company prices,0,118,0%,47.47
packing services,0,117,0%,40.43
international movers,0,116,0%,4.23
ottawa movers cost,0,116,0%,17.2
corporate moving,0,116,0%,25.4
storage solutions ottawa,0,116,0%,62.35
ottawa to montreal movers,0,115,0%,27.55
distance movers,0,114,0%,46.82
student moving,0,114,0%,49.02
nepean movers,0,112,0%,17.01
moving companies for seniors,0,112,0%,41.45
kanata movers,0,111,0%,18.24
seniors moving services,0,111,0%,64.86
piano moving service,0,109,0%,66.05
cheap moving companies,0,107,0%,46.5
best ottawa moving companies,0,106,0%,17.61
cheap moving company,0,106,0%,51.66
movers in ottawa ontario,0,105,0%,23.86
moving services for seniors,0,105,0%,34.25
long distance movers ottawa gloucester,0,103,0%,5.59
condo movers ottawa,0,103,0%,11.33
business relocation services,0,103,0%,47.92
best moving companies across canada,0,103,0%,56.47
local movers in ottawa,0,102,0%,19.79
long distance moving services ottawa,0,99,0%,8.43
affordable moving company ottawa,0,99,0%,16.89
same day moving services,0,99,0%,65.22
piano movers ottawa cost,0,97,0%,16.89
furniture moving,0,97,0%,33.98
why hiring movers is worth it: the real cost of diy moving,0,97,0%,36.72
how to choose furniture movers,0,96,0%,39.95
same day movers near me,0,96,0%,59.93
moving delivery service,0,95,0%,40.56
moving montreal to toronto,0,95,0%,46.24
long distance movers near me,0,94,0%,19.74
long distance moving companies ottawa nepean,0,93,0%,9.04
movers toronto to ottawa,0,93,0%,20.85
ottawa piano movers price,0,92,0%,13.51
moving stittsville,0,92,0%,22.82
senior moving company,0,92,0%,28.37
large electronics or tvs haulers,0,91,0%,9.14
moving saint-léonard,0,91,0%,18.69
long distance moving westmount,0,91,0%,24.13
partial load long distance movers,0,89,0%,36.87
best moving companies in ottawa,0,87,0%,10.57
movers ottawa ontario,0,87,0%,20.43
top moving companies,0,87,0%,44.79
cross country movers ottawa,0,86,0%,12.45
affordable moving company,0,86,0%,22.91
same day moving,0,86,0%,58.85
corrugated cardboard sheets ottawa,0,86,0%,70.38
moving company near me long distance,0,86,0%,72.36
long distance moving company montreal,0,86,0%,80.26
long distance moving companies ottawa barrhaven,0,85,0%,11.86
moving long distance tips,0,85,0%,20.45
long distance moving pointe claire,0,85,0%,50.54
student moving service,0,84,0%,35.27
commercial office movers ottawa,0,84,0%,48.51
college movers,0,83,0%,42.87
best moving companies canada nepean,0,82,0%,6
moving company nepean,0,82,0%,8.44
ottawa pro movers reviews,0,82,0%,10.18
moving companies,0,82,0%,10.99
fast affordable moving,0,82,0%,18.45
moving to ottawa,0,82,0%,26.32
montreal to toronto movers,0,81,0%,51.32
moving from toronto to ottawa,0,80,0%,12.68
special items moving services,0,80,0%,32.08
hire movers ottawa,0,79,0%,18.16
student removals,0,79,0%,47.19
long distance moves,0,79,0%,66.13
moving services for seniors ottawa,0,78,0%,7.81
furniture assembly,0,78,0%,35.23
moving company erin,0,78,0%,44.49
interprovincial moving companies canada,0,78,0%,54.18
interprovincial moving,0,78,0%,60.42
long haul movers canada,0,78,0%,63.12
long distance move,0,78,0%,63.35
apartment movers ottawa,0,77,0%,9.05
emergency moving services,0,77,0%,27.64
long distance moving quote,0,77,0%,56.42
gatineau moving company,0,77,0%,71.73
moving logistics,0,76,0%,71.47
long distance moving services from ottawa,0,75,0%,6.68
commercial moving company in ottawa,0,75,0%,8.83
local moving companies ottawa,0,75,0%,23.69
full service residential moving company,0,75,0%,26.19
commercial relocation,0,75,0%,30.81
long distance movers and storage,0,75,0%,50
junk removal barrhaven,0,75,0%,64.28
senior moving services near me,0,75,0%,73.64
last minute movers,0,74,0%,52.93
professional piano movers,0,74,0%,64.08
seniors movers,0,74,0%,65.35
long distance movers ottawa nepean,0,73,0%,5.62
reliable senior moving company ottawa,0,73,0%,7.1
ottawa best movers reviews,0,73,0%,11.07
ottawa relocation services,0,73,0%,17.56
dependable moving ottawa,0,73,0%,18.79
moving service ottawa,0,73,0%,32.86
best moving insurance coverage ottawa,0,72,0%,7.24
same day movers ottawa,0,72,0%,7.81
ottawa long distance moving oshawa,0,72,0%,16.29
student relocation services,0,72,0%,23.21
commercial movers near me,0,72,0%,24.67
cheap student movers,0,72,0%,24.75
furniture moving company,0,72,0%,33.88
long distance movers ottawa kanata,0,71,0%,7.69
"i’m downsizing in kanata, ontario and need long-term climate control 
storage for family heirlooms—what unit sizes are most economical and which 
facilities have on-site staff?",0,71,0%,8.23
long distance moving company ottawa oshawa,0,71,0%,13.96
same day moving company,0,71,0%,26.7
movers montreal to toronto,0,71,0%,52.11
ottawa storage company,0,71,0%,54.61
moving insurance for senior relocations ottawa,0,70,0%,1.86
best long distance movers ottawa to toronto,0,70,0%,11.07
professional team movers,0,70,0%,60.97
best parcel delivery and moving companies ottawa,0,69,0%,2.1
best moving companies ottawa nepean,0,69,0%,5
affordable moving insurance for long distance,0,69,0%,6.93
long distance movers from ottawa to gta,0,69,0%,12.75
local movers for seniors ottawa,0,69,0%,13.42
moving supplies,0,69,0%,22.87
professional furniture movers,0,69,0%,33.55
movers tipping,0,69,0%,34.58
long haul moving companies canada,0,69,0%,54.48
best moving company in ottawa,0,68,0%,12.75
moving company from ottawa to toronto to montreal,0,67,0%,9.43
best moving insurance for long distance moves,0,67,0%,11.42
long distance moving companies ottawa kanata,0,67,0%,16.99
calgary student movers,0,67,0%,18.15
moving services in ottawa,0,67,0%,22.88
moving for students,0,67,0%,27.64
long haul movers,0,67,0%,52.69
grand piano movers,0,67,0%,64
piano moving ottawa,0,66,0%,13.79
moving company for student,0,66,0%,22.7
movers for senior citizens,0,66,0%,38.48
affordable senior relocation services ottawa,0,65,0%,3.48
best ottawa movers,0,65,0%,10
emergency moving services kanata,0,65,0%,11.08
seniors moving,0,65,0%,60.74
"cassidy's moving & storage, home mover, ottawa",0,64,0%,15.38
movers from toronto to ottawa,0,64,0%,18.34
ottawa moving and delivery service providers,0,63,0%,4.24
assembly services,0,63,0%,15.63
affordable movers for seniors in ottawa,0,62,0%,9.94
local delivery and moving services ottawa,0,62,0%,9.97
piano moving companies ottawa,0,62,0%,9.97
moving services gloucester,0,62,0%,14.21
relocation companies,0,62,0%,49.52
cross province movers,0,62,0%,55.84
best ottawa to toronto long distance movers,0,61,0%,6.15
emergency moving services barrhaven,0,61,0%,8.03
emergency moving services stittsville,0,61,0%,9.98
home movers ottawa,0,61,0%,18.84
small item delivery service,0,61,0%,19.2
piano storage,0,61,0%,55.21
moving services for elderly moving to ottawa,0,60,0%,6.3
student house moving service,0,60,0%,19.3
orleans moving companies,0,60,0%,20.55
ottawa to montreal long distance moving companies,0,60,0%,21.45
moving companies price,0,60,0%,28.13
senior moves,0,60,0%,31.58
piano moving services,0,60,0%,38.68
movers stittsville,0,60,0%,42.45
best movers,0,60,0%,48.37
moving long distance canada,0,60,0%,57.15
last minute furniture movers,0,60,0%,60.32
senior movers near me,0,60,0%,68.37
moving services nepean,0,59,0%,8.59
moving companies ottawa prices kanata,0,59,0%,13.44
same day moving service,0,59,0%,24.88
business relocation,0,59,0%,41.97
gloucester movers,0,58,0%,11.12
ottawa professional movers,0,58,0%,15
cheap moving services ottawa ontario,0,58,0%,31.16
long distance movers ottawa barrhaven,0,57,0%,12.51
moving companies for elderly citizens ottawa,0,57,0%,13.51
affordable moving companies in ottawa,0,57,0%,19.23
student move out services,0,57,0%,28.82
relocating to ottawa,0,57,0%,36.12
furniture moving service,0,57,0%,52.02
unique services ottawa,0,57,0%,78.98
professional movers nepean,0,56,0%,13.05
ottawa movers price,0,56,0%,16.2
moving long-distance,0,56,0%,17.59
get movers ottawa,0,56,0%,19.95
moving services orleans,0,56,0%,20.05
single item movers ottawa,0,55,0%,13.71
professional moving services ottawa,0,55,0%,19.53
commercial moving services near me,0,55,0%,26.64
dorm moving services,0,55,0%,35.09
relocation services in ottawa,0,55,0%,39.91
long distance moving company outremont,0,55,0%,77.13
long distance moving companies ottawa carleton place,0,54,0%,8.87
furniture assembly ottawa,0,54,0%,13.09
small movers ottawa,0,54,0%,13.19
local moving and delivery services ottawa,0,54,0%,17.8
small item delivery and moving services ottawa,0,54,0%,19.39
furniture moving companies,0,54,0%,25.44
office movers in ottawa,0,54,0%,40.87
moving company barrhaven,0,54,0%,49.15
last minute moving company,0,54,0%,53.24
long distance moving services for seniors,0,54,0%,62
"what are the top-rated ottawa moving services for a same-day move across 
the city?",0,53,0%,5.23
ottawa movers carp,0,53,0%,6.42
orleans storage,0,53,0%,19.4
relocation services ottawa,0,53,0%,25.62
white glove moving service cost,0,53,0%,30.28
piano movers london ontario,0,53,0%,57.42
how to choose a moving company,0,53,0%,63.49
long distance movers ottawa stittsville,0,52,0%,9.48
movers from ottawa to toronto,0,52,0%,14.52
moving companies ottawa to toronto,0,52,0%,17.04
moving services for senior citizens ottawa,0,52,0%,17.6
moving damage insurance ottawa companies,0,52,0%,18.52
best moving company ottawa,0,52,0%,19.87
ottawa mover,0,52,0%,20.1
long distance moving companies near me,0,52,0%,39.75
student movers kelowna,0,52,0%,48.6
last minute moving services,0,52,0%,57.85
movers pointe claire,0,52,0%,71.58
moving services ottawa barrhaven,0,51,0%,10.65
office appliances moving ottawa,0,51,0%,13.29
moving company toronto to ottawa,0,51,0%,22.33
local commercial movers,0,51,0%,48.31
long distance moving companies halifax,0,51,0%,61.06
demenagement ottawa,0,50,0%,1.22
long distance movers ottawa carleton place,0,50,0%,9.46
long distance moving companies ottawa carp,0,50,0%,11.3
long distance movers ottawa carp,0,50,0%,12.3
senior moves ottawa,0,50,0%,13.98
top-rated long distance movers near me,0,50,0%,26.9
local moving and packing services ottawa,0,50,0%,27.24
small and affordable movers in ottawa,0,50,0%,29.2
moving companies reviews,0,50,0%,43.32
packing and moving services,0,50,0%,45.14
long distance moving calgary,0,50,0%,78.94
"prestige moving inc, moving & storage service, ottawa",0,49,0%,4.2
what are the best options for long-distance movers starting from ottawa?,0,49,0%,6.12
savemoney ottawa,0,49,0%,10.02
best movers near me barrhaven,0,49,0%,11.9
long distance moving companies ottawa oshawa,0,49,0%,13.33
toronto to ottawa movers,0,49,0%,25.02
province to province movers,0,49,0%,50.55
professional furniture assembly,0,49,0%,58.51
industrial moving team,0,49,0%,87.04
how much do movers cost,0,48,0%,10.4
moving and delivery services,0,48,0%,28.1
cheap movers in ottawa for local moves,0,48,0%,45.19
industrial moving services,0,48,0%,68.85
moving and delivery for small items ottawa,0,48,0%,71.77
long distance delivery services,0,48,0%,73.31
long distance movers cheap,0,48,0%,77.38
moving company gloucester,0,47,0%,8.53
emergency movers ottawa,0,47,0%,8.79
long distance movers from ottawa to quebec,0,47,0%,23.15
furniture assembly service,0,47,0%,26.49
moving damage insurance,0,47,0%,33.36
white glove art packers,0,47,0%,49.85
moving company for seniors,0,47,0%,67.45
furniture movers ottawa barrhaven,0,46,0%,9.7
office relocation services,0,46,0%,10.33
top movers ottawa,0,46,0%,11.8
moving services in ottawa barrhaven,0,46,0%,14.93
ottawa condo damage,0,46,0%,16.3
moving companies in orleans,0,46,0%,18.26
hire a mover ottawa,0,46,0%,24.54
move from toronto to calgary,0,46,0%,28.3
commercial moves,0,46,0%,37.17
banff movers,0,46,0%,41.57
moving companies for long distance moves,0,46,0%,63
long distance moving montreal,0,46,0%,67.48
gatineau moving companies,0,46,0%,72.33
long distance moving company canada,0,46,0%,76.04
movers cote-saint-luc,0,45,0%,16.87
climate controlled storage,0,45,0%,17.62
ottawa's best movers,0,45,0%,33.8
specialized moving services for senior citizens,0,45,0%,50.82
piano storage and moving,0,45,0%,83.33
ottawa residential moving barrhaven,0,44,0%,12.82
campus movers,0,44,0%,17.43
office relocation service,0,44,0%,38.64
corporate moving company,0,44,0%,68.68
long distance move canada,0,44,0%,70.5
checklist for successful long-distance moves,0,43,0%,3.42
furniture movers ottawa nepean,0,43,0%,8.93
assembly service,0,43,0%,34.14
long distance moving companies ontario,0,43,0%,40.51
reliable long distance moving services canada,0,43,0%,44.42
moving pianos cost,0,43,0%,48.49
moving company for piano,0,43,0%,71.72
moving services in ottawa carp,0,42,0%,8.88
packing professionals,0,42,0%,9.45
movers toronto to ottawa oshawa,0,42,0%,9.83
moving services ottawa gloucester,0,42,0%,10.86
best moving companies canada barrhaven,0,42,0%,12.36
movers from ottawa to calgary,0,42,0%,12.5
door to door movers,0,42,0%,13.29
furniture movers ottawa gloucester,0,42,0%,14.86
movers from ottawa to vancouver,0,42,0%,15.14
furniture removals ottawa,0,42,0%,20.38
what is the best day to move furniture?,0,42,0%,32.95
local office moving companies,0,42,0%,64.83
long distance moving companies montreal,0,42,0%,71.26
reliable moving services in ottawa,0,41,0%,6.2
appliance moving service barrhaven,0,41,0%,7.66
long distance moving companies ottawa gloucester,0,41,0%,10.39
best movers ottawa gloucester,0,41,0%,11.54
long distance movers from gta to ottawa,0,41,0%,13.93
long distance moving companies ottawa stittsville,0,41,0%,16.59
business moving services,0,41,0%,37.17
demenageur ottawa,0,40,0%,1.65
moving services ottawa carp,0,40,0%,8.93
kanata movers gloucester,0,40,0%,9
residential moving company in ottawa,0,40,0%,10.15
affordable moving,0,40,0%,11.85
best moving service ottawa,0,40,0%,12.75
"movers, ottawa, ontario, canada",0,40,0%,17.6
moving estimator,0,40,0%,20.07
office relocations,0,40,0%,47.95
storage facilities ottawa,0,40,0%,61.23
piano moving near me,0,40,0%,69.97
commercial mover company,0,40,0%,72.15
moving companies long distance canada,0,40,0%,81.65
corporate relocation,0,40,0%,81.9
ottawa residential moving nepean,0,39,0%,9.1
orleans movers oshawa,0,39,0%,9.38
best moving company,0,39,0%,10.13
student movers calgary,0,39,0%,24.26
moving companies near me ottawa,0,39,0%,34.95
flat rate movers,0,39,0%,41.59
local and long distance movers,0,39,0%,44.26
access moving and storage,0,39,0%,45.74
cost piano moving,0,39,0%,50.49
piano moving cost,0,39,0%,56.41
movers near me gloucester,0,38,0%,8.61
furniture movement service,0,38,0%,9.97
moving services kanata,0,38,0%,15.29
professional movers kanata,0,38,0%,17.63
moving from montreal to ottawa,0,38,0%,33.95
commercial relocation services,0,38,0%,40.92
"which residential movers in ottawa are recommended for a three-bedroom 
house move?",0,37,0%,4.68
cross border moving,0,37,0%,7.16
best moving companies canada gloucester,0,37,0%,10.65
ottawa residential moving kanata,0,37,0%,11.78
professional movers ottawa reviews,0,37,0%,15.05
best way to move across canada,0,37,0%,16.49
student summer storage ottawa,0,37,0%,28.43
best canadian moving companies,0,37,0%,31.81
university moving services,0,37,0%,32.27
moving movers long distance,0,37,0%,53.73
movers in gatineau,0,37,0%,62.76
piano moving services near me,0,37,0%,68.24
moving companies ottawa prices oshawa,0,36,0%,10.44
barrheaven movers,0,36,0%,14.86
emergency moving company,0,36,0%,26.28
furniture moving and storage,0,36,0%,32.47
hot tub lifting equipment,0,36,0%,43.72
interprovincial moving calgary,0,36,0%,43.78
best rated long distance moving companies,0,36,0%,45.92
furniture assembly near me,0,36,0%,57.44
affordable moving company insurance coverage,0,36,0%,60.33
care movers,0,36,0%,71.67
piano movers near me,0,36,0%,73.08
which moving companies in ottawa offer the best value for apartment moves?,0,35,0%,4.17
moving services ottawa nepean,0,35,0%,9.6
furniture movers,0,35,0%,13.06
affordable movers near me,0,35,0%,25.06
after hours moving company,0,35,0%,26
cross country movers,0,35,0%,28.89
what time of day should i move?,0,35,0%,37.77
commercial moving service,0,35,0%,38.71
cost piano movers,0,35,0%,71.06
ottawa movers gloucester,0,34,0%,10.26
kanata movers barrhaven,0,34,0%,10.35
house transport ottawa,0,34,0%,12.44
residential moving services ottawa,0,34,0%,13.03
long distance movers ottawa oshawa,0,34,0%,14.21
ottawa moving service,0,34,0%,33.44
moving organization,0,34,0%,37.56
ottawa to montreal moving,0,34,0%,42.21
moving companies kanata,0,34,0%,48.35
professional piano mover,0,34,0%,59.26
long distance moving options,0,34,0%,62.82
business moving,0,34,0%,66.44
best piano mover,0,34,0%,71.91
local commercial moving companies,0,34,0%,74.82
cheap movers near me barrhaven,0,33,0%,8.36
piano removal barrhaven,0,33,0%,9
moving company in ottawa barrhaven,0,33,0%,14.61
how to move across canada,0,33,0%,14.76
professional moving company in ottawa,0,33,0%,16.3
ottawa moving boxes,0,33,0%,43.67
long distance moving services near me,0,33,0%,49.88
residential movers near me gloucester,0,32,0%,8.25
best movers ottawa barrhaven,0,32,0%,9.31
furniture movers near me gloucester,0,32,0%,9.47
best movers ottawa kanata,0,32,0%,13.69
residential moves,0,32,0%,14.88
furniture assembler,0,32,0%,26.41
best interprovincial moving companies canada,0,32,0%,32.94
long distance moving company reviews,0,32,0%,43.66
long distance moving tips,0,32,0%,45.97
seniors moving company,0,32,0%,46.25
cost of piano mover,0,32,0%,49.88
piano+moving,0,32,0%,50.69
moving a furniture,0,32,0%,53.94
interprovincial moving company,0,32,0%,65.41
senior relocation specialist,0,32,0%,85.94
moving company in ottawa gloucester,0,31,0%,9.19
moving company in ottawa carp,0,31,0%,12.55
furniture assembly services,0,31,0%,19.42
best moving company canada,0,31,0%,22.9
international moving company in ottawa,0,31,0%,27.13
long-distance movers,0,31,0%,46.1
moving company in gatineau,0,31,0%,69.97
cost of piano moving,0,31,0%,70.77
moving company in gatineau qc,0,31,0%,74.42
white glove moving service,0,30,0%,6.03
cheap movers near me gloucester,0,30,0%,7.97
furniture movers near me barrhaven,0,30,0%,10.37
ottawa movers barrhaven,0,30,0%,11.73
residential movers near me barrhaven,0,30,0%,13.1
moving services in ottawa gloucester,0,30,0%,14.5
local moving company in ottawa,0,30,0%,15.23
movers ottawa to toronto,0,30,0%,16.03
quote runner moving,0,30,0%,19.43
professional packers,0,30,0%,36.07
removals to ottawa,0,30,0%,37.17
is it cheaper to move on a thursday?,0,30,0%,39.03
piano moving and storage near me,0,30,0%,60.77
moving service for seniors,0,30,0%,63.9
moving services long distance,0,30,0%,70.9
moving piano near me,0,30,0%,78.1
best movers in,0,30,0%,78.87
out of province movers,0,30,0%,84.33
prestige,0,29,0%,3.86
appliance moving company barrhaven,0,29,0%,8.21
appliance moving company nepean,0,29,0%,8.62
best moving companies ottawa gloucester,0,29,0%,9.72
best movers near me nepean,0,29,0%,11.97
best moving companies ottawa barrhaven,0,29,0%,15.07
moving services in ottawa kanata,0,29,0%,15.17
compare moving companies,0,29,0%,24.14
furniture installation service,0,29,0%,32.14
moving piano cost,0,29,0%,33.28
moving company gatineau qc,0,29,0%,64.24
international moving companies ottawa,0,28,0%,5.21
nepean movers gloucester,0,28,0%,7.25
moving company in ottawa nepean,0,28,0%,12
moving services near me barrhaven,0,28,0%,13.07
furniture movers near me nepean,0,28,0%,13.75
moving services in ottawa nepean,0,28,0%,13.93
moving services near me carp,0,28,0%,15.39
best moving companies ottawa kanata,0,28,0%,17.79
piano removal,0,28,0%,30.68
movers for students,0,28,0%,32.61
moving a senior,0,28,0%,45.18
top rated long distance movers,0,28,0%,50.5
montreal to ottawa moving,0,28,0%,62.07
