Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
moving companies in ottawa canada,7,7,590,26,6.95,https://prestigemoving.ca/top-10-ottawa-movers-reviewed-who-deserves-your-trust/,4,1.36,27.00,0.86,14000000,"[0,0,0,0,100,65,5,1,55,2,4,3]",2026-01-21,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
long distance moving ottawa,1,1,50,23,7.61,https://prestigemoving.ca/,4,1.36,30.00,0.53,5320000,"[18,36,18,9,36,0,9,100,81,81,100,81]",2026-02-21,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
best moving company canada,2,2,390,47,5.13,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,4,1.36,20.00,0.94,431000000,"[54,54,54,66,54,54,54,66,66,100,66,66]",2026-02-09,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
canadian association of movers,1,1,390,,2.61,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,3,1.02,7.00,0.19,5390000,"[36,54,44,54,54,54,54,66,81,54,44,44]",2026-02-09,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
piano moving service near me,2,2,140,10,2.61,https://prestigemoving.ca/piano-moving-services-in-ottawa-prestige-moving/,3,1.02,7.00,0.56,98900000,"[65,65,53,43,21,34,43,65,53,34,28,43]",2026-03-03,"Local pack, People also ask, Related searches",transactional,Organic
5 star movers,3,3,110,11,0.00,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,3,1.02,0.00,0.33,75300000,"[42,42,26,42,53,65,53,53,42,53,53,7]",2026-02-10,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",informational,People also ask
movers near me,29,29,4400,25,6.28,https://prestigemoving.ca/moving-companies-near-me-ottawa,3,1.02,18.00,0.67,0,"[16,16,19,16,19,16,44,54,29,24,19,24]",2026-03-18,"Local pack, Video, Related searches, AI overview",transactional,Organic
moving companies ottawa,20,20,2400,52,9.63,https://prestigemoving.ca/,3,1.02,28.00,0.88,0,"[36,66,80,52,100,66,80,44,44,44,66,52]",2026-03-19,"Local pack, Sitelinks, Related searches",commercial,Organic
student moving company,9,9,140,5,2.88,https://prestigemoving.ca/services/student-moving,3,1.02,8.00,0.46,0,"[41,41,64,64,64,64,100,100,82,82,100,100]",2026-03-09,"Knowledge panel, Video, Related searches, AI overview",informational,Organic
ottawa to toronto ride share,6,6,210,10,0.52,https://prestigemoving.ca/long-distance-movers-from-ottawa-to-toronto/,2,0.68,1.00,0.7,6330000,"[0,0,43,43,43,66,43,66,100,66,22,29]",2026-02-11,"Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums","informational, transactional",People also ask
long distance movers,22,22,1900,26,10.30,https://prestigemoving.ca/long-distance-movers-ottawa,2,0.68,20.00,0.22,0,"[36,20,24,24,52,52,52,52,66,66,80,100]",2026-03-13,"Local pack, Video, Related searches",commercial,Organic
movers ottawa,25,25,1600,49,9.64,https://prestigemoving.ca/,2,0.68,19.00,0.88,0,"[30,65,44,44,55,44,65,55,55,55,55,55]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
ottawa moving companies,11,11,880,39,6.95,https://prestigemoving.ca/top-10-ottawa-movers-reviewed-who-deserves-your-trust/,2,0.68,13.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa movers,18,18,1600,49,9.63,https://prestigemoving.ca/,2,0.68,19.00,0.88,0,"[10,13,24,66,35,24,35,35,35,44,35,35]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
ottawa movers,24,24,1600,49,9.63,https://prestigemoving.ca/,2,0.68,19.00,0.88,0,"[10,13,24,66,35,24,35,35,35,44,35,35]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
movers orleans,9,9,170,11,6.52,https://prestigemoving.ca/professional-movers-orleans,2,0.68,13.00,0.47,0,"[18,14,18,22,22,43,43,43,43,29,35,43]",2026-03-18,"Local pack, Image, Related searches",commercial,Organic
moving companies ottawa to toronto,3,3,90,5,8.15,https://prestigemoving.ca/long-distance-movers-from-ottawa-to-toronto/,2,0.68,16.00,0.88,8400000,"[50,50,50,100,78,50,78,78,78,64,50,50]",2026-03-03,"People also ask, Related searches, AI overview",informational,People also ask
timmins movers,2,2,140,13,1.94,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,1,0.34,1.00,0.33,123000,"[42,80,66,33,23,52,33,66,100,80,100,66]",2026-02-10,"Local pack, Image, People also ask, Related searches",commercial,People also ask
ottawa to vancouver distance,9,9,170,15,0.00,https://prestigemoving.ca/blog/ottawa-to-vancouver-long-distance-moving-guide,1,0.34,0.00,0,13800000,"[53,65,53,65,65,65,65,80,80,80,65,65]",2026-02-19,"Image, People also ask, Related searches",informational,Organic
ottawa long distance moving,9,9,210,24,7.61,https://prestigemoving.ca/,1,0.34,7.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
commercial movers,32,32,1600,27,12.52,https://prestigemoving.ca/commercial-movers-orleans,1,0.34,12.00,0.01,0,"[3,8,5,7,10,24,29,29,44,44,53,100]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
best movers moving company,7,7,390,21,5.79,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,1,0.34,5.00,0.57,31000000,"[54,54,44,19,67,54,36,36,54,29,44,19]",2026-02-07,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
best movers ottawa,10,10,260,38,5.89,https://prestigemoving.ca/best-movers-ottawa,1,0.34,5.00,0.48,0,"[26,5,5,39,14,39,26,26,39,32,32,32]",2026-03-19,"Knowledge panel, Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
office movers near me,12,12,260,30,9.87,https://prestigemoving.ca/moving-companies-near-me-ottawa,1,0.34,9.00,0.46,0,"[66,44,28,28,44,28,66,54,44,35,54,54]",2026-03-18,"Local pack, Related searches",transactional,Organic
student moving services,13,13,260,6,2.88,https://prestigemoving.ca/services/student-moving,1,0.34,2.00,0.46,0,"[5,5,5,10,10,6,100,20,16,16,16,16]",2026-03-09,"Knowledge panel, Related searches, AI overview",informational,Organic
moving ottawa,8,8,320,35,6.95,https://prestigemoving.ca/top-10-ottawa-movers-reviewed-who-deserves-your-trust/,1,0.34,6.00,0.86,133000000,"[81,54,12,15,100,19,36,29,81,29,19,29]",2026-01-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
moving companies ottawa ontario,7,7,90,46,9.64,https://prestigemoving.ca/,1,0.34,9.00,0.88,0,"[100,0,0,19,7,26,26,53,80,26,15,26]",2026-03-16,"Local pack, Related searches",commercial,Organic
best moving companies winnipeg,2,2,140,39,2.48,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,1,0.34,2.00,0.87,31000000,"[4,11,11,5,9,11,11,26,26,21,21,21]",2026-02-09,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,People also ask
long distance movers vancouver,1,0,320,24,15.29,https://vancouver.prestigemoving.ca/services/long-distance-moving,1,0.34,15.00,0.12,999000,"[15,36,23,29,19,6,54,54,54,100,100,81]",2026-03-20,"Knowledge panel, Sitelinks, Related searches, AI overview",informational,AI overview
123 moving,9,9,170,17,0.00,http://prestigemoving.ca/moving-companies-near-me-the-ultimate-guide-to-choosing-the-best-movers-in-your-area/,1,0.34,0.00,0.01,823000000,"[100,81,53,43,53,53,43,43,65,65,43,43]",2026-02-10,"Video, People also ask, AI overview",informational,People also ask
piano moving companies,9,9,110,11,3.51,https://prestigemoving.ca/piano-moving-services-in-ottawa-prestige-moving/,1,0.34,3.00,0.84,0,"[3,9,9,6,6,6,53,53,34,53,81,65]",2026-03-17,"Local pack, Video, Image, Related searches",commercial,Organic
moving from ottawa to vancouver,2,2,50,5,8.23,https://prestigemoving.ca/blog/ottawa-to-vancouver-long-distance-moving-guide,0,0,0.00,0.73,8230000,"[18,18,18,18,18,18,18,100,100,100,100,100]",2026-02-16,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
moving from ottawa to vancouver,13,13,50,5,8.23,https://prestigemoving.ca/blog/ottawa-to-vancouver-long-distance-moving-guide,0,0,0.00,0.73,8230000,"[18,18,18,18,18,18,18,100,100,100,100,100]",2026-02-16,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
moving from ottawa to vancouver,22,22,50,5,8.23,https://prestigemoving.ca/blog/ottawa-to-vancouver-long-distance-moving-guide,0,0,0.00,0.73,8230000,"[18,18,18,18,18,18,18,100,100,100,100,100]",2026-02-16,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
how far is toronto to calgary,41,41,170,25,0.00,https://prestigemoving.ca/toronto-to-calgary-long-distance-moving-experts-affordable-professional-stress-free-relocation/,0,0,0.00,0,159000000,"[42,42,42,53,53,53,65,80,80,65,53,65]",2026-02-06,"Sitelinks, Video, People also ask, Related searches",informational,Organic
ottawa piano moving,15,15,210,20,2.15,https://prestigemoving.ca/services/piano-moving,0,0,0.00,0.4,998000,"[34,21,65,53,81,100,65,100,53,53,43,53]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
ottawa piano moving,32,32,210,20,2.15,https://prestigemoving.ca/piano-moving-services-in-ottawa-prestige-moving/,0,0,0.00,0.4,998000,"[34,21,65,53,81,100,65,100,53,53,43,53]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
business relocation,50,50,140,32,0.00,https://prestigemoving.ca/commercial-movers-ottawa,0,0,0.00,0.02,91000000,"[3,7,7,7,19,65,80,65,65,65,80,100]",2026-03-12,"Local pack, Video, Related searches, AI overview",informational,Organic
business relocation,80,80,140,32,0.00,https://prestigemoving.ca/ottawa-commercial-relocation-services-customized-solutions-for-every-industry/,0,0,0.00,0.02,91000000,"[3,7,7,7,19,65,80,65,65,65,80,100]",2026-03-12,"Local pack, Video, Related searches, AI overview",informational,Organic
senior relocation services,21,21,210,31,2.13,https://prestigemoving.ca/services/senior-moving,0,0,0.00,0.37,58900000,"[26,53,65,80,65,65,65,100,100,100,80,100]",2026-02-27,"Local pack, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
moving companies montreal to toronto,75,75,50,13,8.11,https://prestigemoving.ca/blog/montreal-long-distance-movers-guide,0,0,0.00,0.79,10300000,"[18,18,18,63,18,18,36,81,100,63,63,45]",2026-02-21,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
cheapest moving,32,32,70,35,4.49,https://prestigemoving.ca/affordable-movers-ottawa,0,0,0.00,0.8,210,"[15,11,23,15,15,5,8,11,5,5,6,6]",2026-03-10,"Local pack, Video, Popular products, Related searches, AI overview",commercial,Organic
office moving companies vancouver,99,99,70,18,18.74,https://vancouver.prestigemoving.ca/,0,0,0.00,0.62,13900000,"[33,33,33,42,33,33,9,23,23,100,23,42]",2026-01-31,"Local pack, People also ask, Related searches",commercial,Organic
ottawa best movers,4,4,110,31,4.10,https://prestigemoving.ca/blog/top-10-ottawa-movers-reviewed-who-deserves-your-trust,0,0,0.00,0.59,120,"[0,43,2,12,5,66,28,66,100,7,7,43]",2026-03-05,"Knowledge panel, Sitelinks, People also ask, Related searches","commercial, navigational",Organic
ottawa best movers,9,9,110,31,4.10,https://prestigemoving.ca/blog/ottawa-moving-companies-ranked,0,0,0.00,0.59,120,"[0,43,2,12,5,66,28,66,100,7,7,43]",2026-03-05,"Knowledge panel, Sitelinks, People also ask, Related searches","commercial, navigational",Organic
ottawa best movers,45,45,110,31,4.10,https://prestigemoving.ca/,0,0,0.00,0.59,120,"[0,43,2,12,5,66,28,66,100,7,7,43]",2026-03-05,"Knowledge panel, Sitelinks, People also ask, Related searches","commercial, navigational",Organic
hot tub movers,47,47,590,6,2.02,https://prestigemoving.ca/blog/your-hot-tub-in-ottawa-professional-movers-you-can-trust,0,0,0.00,0.66,3820000,"[24,24,20,8,55,36,67,55,55,76,67,45]",2026-02-18,"Local pack, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
senior moving,76,76,390,18,2.90,https://prestigemoving.ca/senior-moving-services-in-ottawa-prestige-moving/,0,0,0.00,0.32,890000000,"[7,4,13,13,20,25,16,37,31,25,25,25]",2026-01-28,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
senior moving,86,86,390,18,2.90,https://prestigemoving.ca/senior-moving-services-in-ottawa-prestige-moving/,0,0,0.00,0.32,890000000,"[7,4,13,13,20,25,16,37,31,25,25,25]",2026-01-28,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
top rated removal companies,34,34,110,37,5.79,https://prestigemoving.ca/top-10-ottawa-movers-reviewed-who-deserves-your-trust/,0,0,0.00,0.57,239000000,"[30,30,0,0,0,6,3,0,2,0,0,3]",2026-01-23,"Local pack, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
barrhaven movers,40,40,110,14,5.43,https://prestigemoving.ca/service/residential-moving-service-in-ottawa/,0,0,0.00,0.65,241000,"[5,5,28,28,53,23,5,17,17,100,28,43]",2026-01-22,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
professional packers and movers,29,29,110,31,2.15,https://prestigemoving.ca/services/packing-services,0,0,0.00,0.77,9040000,"[7,7,7,26,42,19,100,80,53,65,65,65]",2026-03-08,"Local pack, Video, Related searches, Discussions and forums, AI overview",informational,Organic
professional packers and movers,34,34,110,31,2.15,https://prestigemoving.ca/services/packing-services,0,0,0.00,0.77,9040000,"[7,7,7,26,42,19,100,80,53,65,65,65]",2026-03-08,"Local pack, Video, Related searches, Discussions and forums, AI overview",informational,Organic
canada long distance movers,64,64,590,26,8.01,https://prestigemoving.ca/long-distance-movers-ottawa,0,0,0.00,0.16,0,"[44,67,100,44,44,54,67,81,100,81,100,100]",2026-03-09,"Local pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic
moving companies courtenay,4,4,110,13,3.30,https://prestigemoving.ca/blog/the-best-day-of-the-week-to-move,0,0,0.00,0.94,1030000,"[66,80,52,9,66,66,66,66,52,52,42,42]",2026-02-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,People also ask
address change move,50,50,110,45,0.00,https://prestigemoving.ca/blog/post-move-to-do-list-ottawa,0,0,0.00,0.01,1800000000,"[17,28,23,35,28,35,35,35,35,35,23,23]",2026-02-27,"Video, Featured snippet, People also ask, Related searches",informational,Organic
address change move,55,55,110,45,0.00,https://prestigemoving.ca/blog/post-move-to-do-list-ottawa,0,0,0.00,0.01,1800000000,"[17,28,23,35,28,35,35,35,35,35,23,23]",2026-02-27,"Video, Featured snippet, People also ask, Related searches",informational,Organic
address change move,62,62,110,45,0.00,https://prestigemoving.ca/blog/post-move-to-do-list-ottawa,0,0,0.00,0.01,1800000000,"[17,28,23,35,28,35,35,35,35,35,23,23]",2026-02-27,"Video, Featured snippet, People also ask, Related searches",informational,Organic
moving cost estimator,66,66,140,18,2.90,https://prestigemoving.ca/calculator,0,0,0.00,0.53,54800000,"[23,28,35,35,17,35,100,23,28,43,28,35]",2026-03-03,"Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
ottawa piano movers,25,25,140,35,2.30,https://prestigemoving.ca/services/piano-moving,0,0,0.00,0.94,268000,"[15,19,34,42,42,42,80,80,80,65,80,100]",2026-02-28,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa piano movers,37,37,140,35,2.30,https://prestigemoving.ca/piano-moving-services-in-ottawa-prestige-moving/,0,0,0.00,0.94,268000,"[15,19,34,42,42,42,80,80,80,65,80,100]",2026-02-28,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa piano movers,41,41,140,35,2.30,https://prestigemoving.ca/piano-moving-services-in-ottawa-prestige-moving/,0,0,0.00,0.94,268000,"[15,19,34,42,42,42,80,80,80,65,80,100]",2026-02-28,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa piano movers,72,72,140,35,2.30,https://prestigemoving.ca/blog/piano-moving-ottawa-specialists,0,0,0.00,0.94,268000,"[15,19,34,42,42,42,80,80,80,65,80,100]",2026-02-28,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
corporate moving service,68,68,70,44,8.11,https://prestigemoving.ca/services/commercial-moving-services,0,0,0.00,0.33,383000000,"[14,14,78,78,78,14,78,14,14,100,50,35]",2026-02-27,"Local pack, Image, People also ask, Related searches, AI overview",informational,Organic
corporate moving service,88,88,70,44,8.11,https://prestigemoving.ca/services/commercial-moving-services,0,0,0.00,0.33,383000000,"[14,14,78,78,78,14,78,14,14,100,50,35]",2026-02-27,"Local pack, Image, People also ask, Related searches, AI overview",informational,Organic
distance from montreal to ottawa canada,72,72,260,11,0.00,https://prestigemoving.ca/ottawa-to-montreal-movers,0,0,0.00,0,0,"[81,35,66,54,23,28,54,81,35,15,35,54]",2026-03-17,"Video, Related searches",informational,Organic
long distance moving pointe claire,74,74,90,5,0.00,https://prestigemoving.ca/blog,0,0,0.00,0,19300000,"[0,0,0,0,0,4,0,80,80,80,100,100]",2026-02-21,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
vernon movers,4,4,110,5,2.70,https://prestigemoving.ca/blog/the-best-day-of-the-week-to-move,0,0,0.00,0.92,1890000,"[33,33,52,66,66,33,14,52,42,80,66,80]",2026-02-28,"Local pack, Image, People also ask, Related searches",commercial,People also ask
moving companies whitehorse,77,77,110,9,3.84,https://prestigemoving.ca/service/long-distance-moving-service-in-ottawa/,0,0,0.00,0.46,287000,"[9,9,9,23,29,19,15,19,19,15,15,12]",2026-02-09,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving companies whitehorse,91,91,110,9,3.84,https://prestigemoving.ca/service/long-distance-moving-service-in-ottawa/,0,0,0.00,0.46,287000,"[9,9,9,23,29,19,15,19,19,15,15,12]",2026-02-09,"Local pack, Image, People also ask, Related searches",commercial,Organic
commercial office moving companies,67,67,70,25,0.00,https://prestigemoving.ca/commercial-movers-ottawa,0,0,0.00,0,0,"[14,14,14,64,50,35,100,78,78,64,64,78]",2026-03-12,"Local pack, Related searches",commercial,Organic
ottawa to vancouver distance,14,14,170,15,0.00,https://prestigemoving.ca/blog/ottawa-to-vancouver-long-distance-moving-guide,0,0,0.00,0,13800000,"[53,65,53,65,65,65,65,80,80,80,65,65]",2026-02-19,"Image, People also ask, Related searches",informational,Organic
movers kanata,55,55,140,14,6.26,https://prestigemoving.ca/,0,0,0.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Organic
furniture movers ottawa,13,13,260,22,5.18,https://prestigemoving.ca/furniture-moving-services-in-ottawa/,0,0,0.00,0.99,0,"[5,5,7,7,11,11,59,39,32,39,39,32]",2026-03-14,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
furniture movers ottawa,37,37,260,22,5.18,https://prestigemoving.ca/service/student-moving-service-in-ottawa/,0,0,0.00,0.99,0,"[5,5,7,7,11,11,59,39,32,39,39,32]",2026-03-14,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
packing services,22,0,590,28,3.47,https://prestigemoving.ca/service/packing-service-in-ottawa/,0,0,0.00,0.18,148,"[11,11,25,13,16,20,37,37,25,37,52,52]",2026-03-20,"Knowledge panel, Video, Image, Related searches, AI overview",commercial,Organic
packing services,69,0,590,28,3.47,https://prestigemoving.ca/service/packing-service-in-ottawa/,0,0,0.00,0.18,148,"[11,11,25,13,16,20,37,37,25,37,52,52]",2026-03-20,"Knowledge panel, Video, Image, Related searches, AI overview",commercial,Organic
storage leaside toronto,81,81,110,31,5.37,https://prestigemoving.ca/blog/leaside-davisville-village-movers-guide,0,0,0.00,1,63800,"[33,42,42,42,33,42,33,66,66,100,80,80]",2026-03-03,"Local pack, Video, Image, Ads bottom, Related searches",commercial,Organic
medicine hat movers,2,2,90,9,2.43,https://prestigemoving.ca/blog/the-best-day-of-the-week-to-move,0,0,0.00,0.61,2940000,"[6,6,12,6,9,9,12,12,12,15,15,36]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,People also ask
calgary student movers,16,16,70,12,4.82,https://prestigemoving.ca/blog/capitol-hill-banff-trail-student-movers-ucalgary,0,0,0.00,0.43,191000,"[11,11,11,11,17,29,11,64,64,64,100,100]",2026-02-21,"Local pack, Video, Related searches",informational,Organic
do tip movers,49,49,110,6,0.07,https://prestigemoving.ca/tipping-movers-ottawa/,0,0,0.00,0.02,25400000,"[53,65,81,81,100,0,0,0,81,0,0,0]",2026-02-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
office moves,35,35,140,19,17.42,https://prestigemoving.ca/services/commercial-moving,0,0,0.00,0.3,138,"[65,43,28,34,15,12,21,34,28,43,53,100]",2026-03-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
best long distance moving companies,44,44,480,22,9.18,https://prestigemoving.ca/best-rated-ottawa-movers-2025/,0,0,0.00,0.04,206000000,"[7,8,7,8,8,13,13,13,13,16,16,16]",2026-01-29,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
ottawa long distance moving,10,10,210,24,7.61,https://prestigemoving.ca/,0,0,0.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
ottawa long distance moving,27,27,210,24,7.61,https://prestigemoving.ca/service/long-distance-moving-service-in-ottawa/,0,0,0.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
ottawa long distance moving,39,39,210,24,7.61,https://prestigemoving.ca/service/long-distance-moving-service-in-ottawa/,0,0,0.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
ottawa long distance moving,55,55,210,24,7.61,https://prestigemoving.ca/,0,0,0.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
recommended moving companies,40,40,260,31,5.79,https://prestigemoving.ca/top-10-ottawa-movers-reviewed-who-deserves-your-trust/,0,0,0.00,0.57,342000000,"[19,0,5,5,54,36,23,44,66,54,54,36]",2026-01-22,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",commercial,Organic
how much does it cost for movers to move,80,80,210,12,2.19,https://prestigemoving.ca/how-much-does-it-cost-to-hire-movers-in-ottawa/,0,0,0.00,0.76,27300000,"[11,11,11,15,11,15,18,54,81,100,54,54]",2026-01-24,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
moving companies north vancouver,84,84,390,27,11.52,https://vancouver.prestigemoving.ca/,0,0,0.00,0.54,99600000,"[44,54,66,66,66,66,66,54,44,81,66,66]",2026-02-05,"Local pack, Video, People also ask, Related searches",commercial,Organic
packing moving company,85,85,110,25,2.96,https://prestigemoving.ca/service/packing-service-in-ottawa/,0,0,0.00,0.89,89000000,"[54,66,43,100,22,4,4,4,4,4,4,4]",2026-01-28,"Local pack, Video, People also ask, Related searches",commercial,Organic
rental truck movers,37,37,90,70,1.58,https://prestigemoving.ca/blog/diy-truck-rental-vs-professional-movers-ottawa,0,0,0.00,0.69,0,"[11,11,7,7,7,26,53,100,34,42,100,19]",2026-03-17,"Local pack, Video, Related searches",commercial,Organic
